people,state,party,total_senate_years,total_house_years,total_years
Mark Takai,Hawaii,Democratic,0,1,1
Mark Takano,California,Democratic,0,8,8
"Burt Talcott, L.",California,Republican,0,14,14
Jim Talent,Missouri,Republican,5,8,13
Robert Tallon,South Carolina,Democratic,0,10,10
"Herman Talmadge, E.",Georgia,Democratic,24,0,24
"Thomas Tancredo, G.",Colorado,Republican,0,10,10
"John Tanner, S.",Tennessee,Democratic,0,22,22
Randy Tate,Washington,Republican,0,2,2
"Thomas Tauke, Joseph",Iowa,Republican,0,12,12
"Ellen Tauscher, O.",California,Democratic,0,12,12
W. Tauzin,Louisiana,Republican,0,26,26
"Charles Taylor, H.",North Carolina,Republican,0,16,16
G. Taylor,Missouri,Republican,0,16,16
Gene Taylor,Mississippi,Democratic,0,22,22
"Roy Taylor, A.",North Carolina,Democratic,0,18,18
Scott Taylor,Virginia,Republican,0,2,2
Van Taylor,Texas,Republican,0,2,2
"Charles Teague, M.",California,Republican,0,20,20
Harry Teague,New Mexico,Democratic,0,2,2
"Olin Teague, E.",Texas,Democratic,0,34,34
Frank Tejeda,Texas,Democratic,0,6,6
Claudia Tenney,New York,Republican,0,2,2
Lee Terry,Nebraska,Republican,0,16,16
Jon Tester,Montana,Democratic,14,0,14
Craig Thomas,Wyoming,Republican,12,6,18
Lindsay Thomas,Georgia,Democratic,0,10,10
"William Thomas, M.",California,Republican,0,28,28
"Bennie Thompson, G.",Mississippi,Democratic,0,28,28
"Frank, Thompson, Jr.",New Jersey,Democratic,0,26,26
Fred Thompson,Tennessee,Republican,9,0,9
Glenn Thompson,Pennsylvania,Republican,0,12,12
Mike Thompson,California,Democratic,0,22,22
"Vernon Thomson, W.",Wisconsin,Republican,0,14,14
Charles Thone,Nebraska,Republican,0,8,8
Mac Thornberry,Texas,Republican,0,26,26
Ray Thornton,Arkansas,Democratic,0,12,12
John Thune,South Dakota,Republican,16,6,22
"Karen Thurman, L.",Florida,Democratic,0,10,10
Strom Thurmond,South Carolina,Republican,50,0,50
Todd Tiahrt,Kansas,Republican,0,16,16
"Patrick Tiberi, J.",Ohio,Republican,0,17,17
"Robert Tiernan, O.",Rhode Island,Democratic,0,8,8
"John Tierney, F.",Massachusetts,Democratic,0,18,18
"Thomas Tiffany, P.",Wisconsin,Republican,0,1,1
Thom Tillis,North Carolina,Republican,6,0,6
William Timmons,South Carolina,Republican,0,2,2
"Scott Tipton, R.",Colorado,Republican,0,10,10
Dina Titus,Nevada,Democratic,0,10,10
Rashida Tlaib,Michigan,Democratic,0,2,2
Paul Tonko,New York,Democratic,0,12,12
"Richard Tonry, A.",Louisiana,Democratic,0,2,2
Pat Toomey,Pennsylvania,Republican,10,6,16
"Peter Torkildsen, G.",Massachusetts,Republican,0,4,4
"Small, Torres, Xochitl",New Mexico,Democratic,0,2,2
"Estaban Torres, Edward",California,Democratic,0,16,16
"Norma Torres, J.",California,Democratic,0,6,6
Ritchie Torres,New York,Democratic,0,0,0
"Robert Torricelli, G.",New Jersey,Democratic,6,14,20
David Towell,Nevada,Republican,0,2,2
"John Tower, G.",Texas,Republican,24,0,24
Edolphus Towns,New York,Democratic,0,30,30
James Traficant,Ohio,Democratic,0,17,17
Lori Trahan,Massachusetts,Democratic,0,2,2
Bob Traxler,Michigan,Democratic,0,20,20
"David Treen, C.",Louisiana,Republican,0,8,8
Paul Trible,Virginia,Republican,6,6,12
"David Trone, J.",Maryland,Democratic,0,2,2
"David Trott, A.",Michigan,Republican,0,4,4
Niki Tsongas,Massachusetts,Democratic,0,12,12
"Paul Tsongas, E.",Massachusetts,Democratic,6,4,10
Tommy Tuberville,Alabama,Republican,0,0,0
James Tucker,Arkansas,Democratic,0,2,2
Walter Tucker,California,Democratic,0,4,4
"John Tunney, V.",California,Democratic,4,8,12
Jim Turner,Texas,Democratic,0,8,8
"Michael Turner, R.",Ohio,Republican,0,18,18
"Robert Turner, L.",New York,Republican,0,2,2
Mark Udall,Colorado,Democratic,6,10,16
"Morris Udall, K.",Arizona,Democratic,0,32,32
Tom Udall,New Mexico,Democratic,12,10,22
Al Ullman,Oregon,Democratic,0,24,24
Lauren Underwood,Illinois,Democratic,0,2,2
"Robert Underwood, A.",Guam,Democratic,0,10,10
Jolene Unsoeld,Washington,Democratic,0,6,6
Fred Upton,Michigan,Republican,0,34,34
"David Valadao, G.",California,Republican,0,6,6
Tim Valentine,North Carolina,Democratic,0,12,12
"Deerlin, Van, Lionel",California,Democratic,0,18,18
"Drew, Van, Jefferson",New Jersey,Republican,0,2,2
"Duyne, Van, Beth",Texas,Republican,0,0,0
"Hollen, Van, Chris",Maryland,Democratic,4,14,18
"Jagt, Vander, Guy",Michigan,Republican,0,28,28
"Veen, Vander",Michigan,Democratic,0,4,4
"Tommy Vandergriff, J.",Texas,Democratic,0,2,2
"Charles Vanik, A.",Ohio,Democratic,0,26,26
Juan Vargas,California,Democratic,0,8,8
"Marc Veasey, A.",Texas,Democratic,0,8,8
Filemon Vela,Texas,Democratic,0,8,8
"Nydia Velazquez, M.",New York,Democratic,0,28,28
"Bruce Vento, F.",Minnesota,Democratic,0,24,24
"Victor Veysey, V.",California,Republican,0,4,4
"Joseph Vigorito, P.",Pennsylvania,Democratic,0,12,12
"Peter Visclosky, J.",Indiana,Democratic,0,36,36
David Vitter,Louisiana,Republican,12,6,18
"George Voinovich, V.",Ohio,Republican,12,0,12
"Harold Volkmer, L.",Missouri,Democratic,0,20,20
"Barbara Vucanovich, F.",Nevada,Republican,0,14,14
Joe Waggonner,Louisiana,Democratic,0,18,18
Ann Wagner,Missouri,Republican,0,8,8
Tim Walberg,Michigan,Republican,0,12,12
Greg Walden,Oregon,Republican,0,22,22
"Enid Waldholtz, Greene",Utah,Republican,0,2,2
"Jerome Waldie, R.",California,Democratic,0,10,10
Alton Waldon,New York,Democratic,0,2,2
Doug Walgren,Pennsylvania,Democratic,0,14,14
Mark Walker,North Carolina,Republican,0,6,6
"Robert Walker, S.",Pennsylvania,Republican,0,20,20
Malcolm Wallop,Wyoming,Republican,18,0,18
Jackie Walorski,Indiana,Republican,0,8,8
"James Walsh, T.",New York,Republican,0,20,20
Joe Walsh,Illinois,Republican,0,2,2
"John Walsh, E.",Montana,Democratic,1,0,1
"William Walsh, F.",New York,Republican,0,6,6
Mimi Walters,California,Republican,0,4,4
Michael Waltz,Florida,Republican,0,2,2
"Timothy Walz, J.",Minnesota,Democratic,0,12,12
Zach Wamp,Tennessee,Republican,0,16,16
"William Wampler, C.",Virginia,Republican,0,18,18
Mike Ward,Kentucky,Democratic,0,2,2
"John Ware, H.",Pennsylvania,Republican,0,6,6
John Warner,Virginia,Republican,30,0,30
"Mark Warner, R.",Virginia,Democratic,12,0,12
"Raphael Warnock, G.",Georgia,Democratic,0,0,0
Elizabeth Warren,Massachusetts,Democratic,8,0,8
"Craig Washington, A.",Texas,Democratic,0,6,6
Harold Washington,Illinois,Democratic,0,4,4
"Schultz, Wasserman, Debbie",Florida,Democratic,0,16,16
Maxine Waters,California,Democratic,0,30,30
Steve Watkins,Kansas,Republican,0,2,2
Wes Watkins,Oklahoma,Republican,0,20,20
"Coleman, Watson, Bonnie",New Jersey,Democratic,0,6,6
"Diane Watson, E.",California,Democratic,0,10,10
"Melvin Watt, L.",North Carolina,Democratic,0,21,21
J. Watts,Oklahoma,Republican,0,8,8
"Henry Waxman, A.",California,Democratic,0,40,40
"James Weaver, H.",Oregon,Democratic,0,12,12
Jim Webb,Virginia,Democratic,6,0,6
Ed Weber,Ohio,Republican,0,2,2
Randy Weber,Texas,Republican,0,8,8
Vin Weber,Minnesota,Republican,0,12,12
Daniel Webster,Florida,Republican,0,10,10
Lowell Weicker,Connecticut,Republican,16,2,18
"Anthony Weiner, D.",New York,Democratic,0,12,12
Ted Weiss,New York,Democratic,0,16,16
Peter Welch,Vermont,Democratic,0,14,14
Curt Weldon,Pennsylvania,Republican,0,20,20
Dave Weldon,Florida,Republican,0,14,14
Jerry Weller,Illinois,Republican,0,14,14
"Paul Wellstone, D.",Minnesota,Democratic,11,0,11
"Brad Wenstrup, R.",Ohio,Republican,0,8,8
"Allen West, B.",Florida,Republican,0,2,2
Bruce Westerman,Arkansas,Republican,0,6,6
"Lynn Westmoreland, A.",Georgia,Republican,0,12,12
Robert Wexler,Florida,Democratic,0,13,13
Jennifer Wexton,Virginia,Democratic,0,2,2
"Robert Weygand, A.",Rhode Island,Democratic,0,4,4
Charles Whalen,Ohio,Republican,0,12,12
Alan Wheat,Missouri,Democratic,0,12,12
"Richard White, C.",Texas,Democratic,0,18,18
Rick White,Washington,Republican,0,4,4
Sheldon Whitehouse,Rhode Island,Democratic,14,0,14
"G. Whitehurst, William",Virginia,Republican,0,18,18
Ed Whitfield,Kentucky,Republican,0,21,21
Charles Whitley,North Carolina,Democratic,0,10,10
Bob Whittaker,Kansas,Republican,0,12,12
"Jamie Whitten, L.",Mississippi,Democratic,0,28,28
"Roger Wicker, F.",Mississippi,Republican,14,12,26
"William Widnall, B.",New Jersey,Republican,0,26,26
"Charles Wiggins, E.",California,Republican,0,12,12
Susan Wild,Pennsylvania,Democratic,0,3,3
Harrison Williams,New Jersey,Democratic,23,4,27
"Lawrence Williams, G.",Pennsylvania,Republican,0,8,8
Lyle Williams,Ohio,Republican,0,6,6
Nikema Williams,Georgia,Democratic,0,0,0
Pat Williams,Montana,Democratic,0,18,18
Roger Williams,Texas,Republican,0,8,8
Charles Wilson,Texas,Democratic,0,24,24
"Charles Wilson, A.",Ohio,Democratic,0,4,4
"Charles Wilson, H.",California,Democratic,0,18,18
"Frederica Wilson, S.",Florida,Democratic,0,10,10
Heather Wilson,New Mexico,Republican,0,12,12
Joe Wilson,South Carolina,Republican,0,20,20
Pete Wilson,California,Republican,10,0,10
"Robert Wilson, C.",California,Republican,0,28,28
"Larry, Winn, Jr.",Kansas,Republican,0,18,18
Timothy Wirth,Colorado,Democratic,6,12,18
Robert Wise,West Virginia,Democratic,0,18,18
"Robert Wittman, J.",Virginia,Republican,0,14,14
Harris Wofford,Pennsylvania,Democratic,4,0,4
"Frank Wolf, R.",Virginia,Republican,0,34,34
"Lester Wolff, L.",New York,Democratic,0,16,16
"Howard Wolpe, E.",Michigan,Democratic,0,14,14
Steve Womack,Arkansas,Republican,0,10,10
"Pat, Won",Guam,Democratic,0,12,12
Rob Woodall,Georgia,Republican,0,10,10
"Lynn Woolsey, C.",California,Democratic,0,20,20
"George Wortley, C.",New York,Republican,0,8,8
James Wright,Texas,Democratic,0,36,36
Ron Wright,Texas,Republican,0,2,2
David Wu,Oregon,Democratic,0,12,12
"Joe, Wyatt, Jr.",Texas,Democratic,0,2,2
Wendell Wyatt,Oregon,Republican,0,12,12
Ron Wyden,Oregon,Democratic,25,15,40
"John Wydler, W.",New York,Republican,0,18,18
"Chalmers Wylie, P.",Ohio,Republican,0,26,26
"Louis Wyman, C.",New Hampshire,Republican,1,9,10
"Albert Wynn, Russell",Maryland,Democratic,0,15,15
"John Yarmuth, A.",Kentucky,Democratic,0,14,14
"Sidney Yates, R.",Illinois,Democratic,0,48,48
Gus Yatron,Pennsylvania,Democratic,0,24,24
Kevin Yoder,Kansas,Republican,0,8,8
"Ted Yoho, S.",Florida,Republican,0,8,8
Andrew Young,Georgia,Democratic,0,6,6
C. Young,Florida,Republican,0,42,42
David Young,Iowa,Republican,0,4,4
Don Young,Alaska,Republican,0,48,48
Edward Young,South Carolina,Republican,0,2,2
John Young,Texas,Democratic,0,22,22
"Milton Young, R.",North Dakota,Republican,36,0,36
"Robert Young, A.",Missouri,Democratic,0,10,10
"Samuel Young, H.",Illinois,Republican,0,2,2
Todd Young,Indiana,Republican,4,6,10
"Clement Zablocki, J.",Wisconsin,Democratic,0,36,36
"Leo Zeferetti, C.",New York,Democratic,0,8,8
"Lee Zeldin, M.",New York,Republican,0,6,6
William Zeliff,New Hampshire,Republican,0,6,6
Dick Zimmer,New Jersey,Republican,0,6,6
"Ryan Zinke, K.",Montana,Republican,0,2,2
"Roger Zion, H.",Indiana,Republican,0,8,8
Edward Zorinsky,Nebraska,Democratic,12,0,12
Edwin Zschau,California,Republican,0,4,4
"John Zwach, M.",Minnesota,Republican,0,8,8
