people,state,party,total_senate_years,total_house_years,total_years
Ben Cline,Virginia,Republican,0,2,2
William Clinger,Pennsylvania,Republican,0,18,18
"Hillary Clinton, Rodham",New York,Democratic,8,0,8
Michael Cloud,Texas,Republican,0,3,3
"James Clyburn, E.",South Carolina,Democratic,0,28,28
"Andrew Clyde, S.",Georgia,Republican,0,0,0
Daniel Coats,Indiana,Republican,16,8,24
"William Cobey, W.",North Carolina,Republican,0,2,2
Howard Coble,North Carolina,Republican,0,30,30
Tom Coburn,Oklahoma,Republican,10,6,16
Thad Cochran,Mississippi,Republican,39,6,45
"Anthony Coelho, Lee",California,Democratic,0,12,12
Mike Coffman,Colorado,Republican,0,10,10
Steve Cohen,Tennessee,Democratic,0,14,14
"William Cohen, S.",Maine,Republican,18,6,24
Tom Cole,Oklahoma,Republican,0,18,18
"E. Coleman, Thomas",Missouri,Republican,0,16,16
Norm Coleman,Minnesota,Republican,6,0,6
"Ronald Coleman, D.",Texas,Democratic,0,14,14
"Harold Collier, R.",Illinois,Republican,0,18,18
Barbara-Rose Collins,Michigan,Democratic,0,6,6
Cardiss Collins,Illinois,Democratic,0,24,24
Chris Collins,New York,Republican,0,6,6
Doug Collins,Georgia,Republican,0,8,8
"James Collins, M.",Texas,Republican,0,16,16
Mac Collins,Georgia,Republican,0,12,12
"Susan Collins, M.",Maine,Republican,24,0,24
"Colorado, Commissioner, Antonio",Puerto Rico,Democratic,0,2,2
Larry Combest,Texas,Republican,0,18,18
James Comer,Kentucky,Republican,0,5,5
Barbara Comstock,Virginia,Republican,0,4,4
Barber Conable,New York,Republican,0,20,20
"K. Conaway, Michael",Texas,Republican,0,16,16
"Gary Condit, A.",California,Democratic,0,14,14
"John Conlan, B.",Arizona,Republican,0,4,4
"Gerald Connolly, E.",Virginia,Democratic,0,12,12
Kent Conrad,North Dakota,Democratic,26,0,26
"Silvio Conte, O.",Massachusetts,Republican,0,34,34
"John, Conyers, Jr.",Michigan,Democratic,0,52,52
"Marlow Cook, W.",Kentucky,Republican,8,0,8
Merrill Cook,Utah,Republican,0,4,4
Paul Cook,California,Republican,0,7,7
John Cooksey,Louisiana,Republican,0,6,6
Wes Cooley,Oregon,Republican,0,2,2
"Christopher Coons, A.",Delaware,Democratic,11,0,11
Jim Cooper,Tennessee,Democratic,0,30,30
Sam Coppersmith,Arizona,Democratic,0,2,2
Tom Corcoran,Illinois,Republican,0,8,8
Bob Corker,Tennessee,Republican,12,0,12
"James Corman, C.",California,Democratic,0,20,20
"Robert Cornell, J.",Wisconsin,Democratic,0,4,4
"David Cornwell, L.",Indiana,Democratic,0,2,2
John Cornyn,Texas,Republican,19,0,19
"Corrada, Commissioner, Baltasar",Puerto Rico,Independent,0,10,10
"J. Correa, Luis",California,Democratic,0,4,4
"Masto, Cortez, Catherine",Nevada,Democratic,4,0,4
"Jon Corzine, S.",New Jersey,Democratic,5,0,5
Jim Costa,California,Democratic,0,16,16
"Jerry Costello, F.",Illinois,Democratic,0,26,26
"Ryan Costello, A.",Pennsylvania,Republican,0,4,4
"William Cotter, R.",Connecticut,Democratic,0,12,12
Norris Cotton,New Hampshire,Republican,24,6,30
Tom Cotton,Arkansas,Republican,6,2,8
Lawrence Coughlin,Pennsylvania,Republican,0,24,24
Jim Courter,New Jersey,Republican,0,12,12
Joe Courtney,Connecticut,Democratic,0,14,14
Paul Coverdell,Georgia,Republican,7,0,7
"William Cowan, M.",Massachusetts,Democratic,0,0,0
Christopher Cox,California,Republican,0,18,18
John Cox,Illinois,Democratic,0,2,2
TJ Cox,California,Democratic,0,2,2
"James Coyne, K.",Pennsylvania,Republican,0,2,2
"William Coyne, J.",Pennsylvania,Democratic,0,22,22
Angie Craig,Minnesota,Democratic,0,2,2
"Larry Craig, E.",Idaho,Republican,18,10,28
Kevin Cramer,North Dakota,Republican,2,6,8
Robert Cramer,Alabama,Democratic,0,18,18
"Daniel Crane, B.",Illinois,Republican,0,6,6
"Philip Crane, M.",Illinois,Republican,0,36,36
Alan Cranston,California,Democratic,24,0,24
Mike Crapo,Idaho,Republican,22,6,28
Chip Cravaack,Minnesota,Republican,0,2,2
Eric Crawford,Arkansas,Republican,0,10,10
"Frank Cremeans, A.",Ohio,Republican,0,2,2
Ander Crenshaw,Florida,Republican,0,16,16
Dan Crenshaw,Texas,Republican,0,2,2
Charlie Crist,Florida,Democratic,0,4,4
"Mark Critz, S.",Pennsylvania,Democratic,0,3,3
George Crockett,Michigan,Democratic,0,12,12
"Paul Cronin, W.",Massachusetts,Republican,0,2,2
Jason Crow,Colorado,Democratic,0,2,2
Joseph Crowley,New York,Democratic,0,20,20
Ted Cruz,Texas,Republican,8,0,8
Barbara Cubin,Wyoming,Republican,0,14,14
Henry Cuellar,Texas,Democratic,0,16,16
"John Culberson, Abney",Texas,Republican,0,18,18
"John Culver, C.",Iowa,Democratic,6,10,16
"Elijah Cummings, E.",Maryland,Democratic,0,24,24
Joe Cunningham,South Carolina,Democratic,0,2,2
John Cunningham,Washington,Republican,0,2,2
"Randy Cunningham, (Duke)",California,Republican,0,16,16
Carlos Curbelo,Florida,Republican,0,4,4
"David Curson, Alan",Michigan,Democratic,0,1,1
"Carl Curtis, T.",Nebraska,Republican,24,16,40
"John Curtis, R.",Utah,Republican,0,4,4
Alfonse D'Amato,New York,Republican,18,0,18
"Norman D'Amours, E.",New Hampshire,Democratic,0,10,10
"Kathleen Dahlkemper, A.",Pennsylvania,Democratic,0,2,2
Steve Daines,Montana,Republican,6,2,8
"John Danforth, C.",Missouri,Republican,18,0,18
Robert Daniel,Virginia,Republican,0,10,10
W. Daniel,Virginia,Democratic,0,20,20
"Dominick Daniels, V.",New Jersey,Democratic,0,18,18
"George Danielson, E.",California,Democratic,0,12,12
"William Dannemeyer, E.",California,Republican,0,14,14
