people,state,party,senate_years,house_years
"Dana Rohrabacher, ",California,Republican,0,1989-2019
"Todd Rokita, ",Indiana,Republican,0,2011-2019
"Romero-Barcelo, Commissioner, ",Puerto Rico,Democratic,0,1993-2001
"Mitt Romney, ",Utah,Republican,2019-Present,0
"Teno Roncalio, ",Wyoming,Democratic,0,"1965-1967,"
"Angelo Roncallo, D.",New York,Republican,0,1973-1975
"Francis Rooney, ",Florida,Republican,0,2017-2021
"Fred Rooney, B.",Pennsylvania,Democratic,0,1963-1979
"John Rooney, J.",New York,Democratic,0,1943-1975
"Thomas Rooney, J.",Florida,Republican,0,2009-2019
"Ileana Ros-Lehtinen, ",Florida,Republican,0,1989-2019
"Charlie Rose, ",North Carolina,Democratic,0,1973-1997
"John Rose, W.",Tennessee,Republican,0,2019-Present
"Max Rose, ",New York,Democratic,0,2019-2021
"Jacky Rosen, ",Nevada,Democratic,2019-Present,2017-2019
"Sr., Rosendale, ",Montana,Republican,0,2021-Present
"Benjamin Rosenthal, S.",New York,Democratic,0,1961-1983
"Peter Roskam, J.",Illinois,Republican,0,2007-2019
"Deborah Ross, K.",North Carolina,Democratic,0,2021-Present
"Dennis Ross, A.",Florida,Republican,0,2011-2019
"Mike Ross, ",Arkansas,Democratic,0,2001-2013
"Dan Rostenkowski, ",Illinois,Democratic,0,1959-1995
"Jr., Roth, ",Delaware,Republican,1969-2001,1967-1969
"Toby Roth, ",Wisconsin,Republican,0,1979-1997
"Keith Rothfus, J.",Pennsylvania,Republican,0,2013-2019
"Steven Rothman, R.",New Jersey,Democratic,0,1997-2013
"Harley Rouda, ",California,Democratic,0,2019-2021
"Marge Roukema, ",New Jersey,Republican,0,1981-2003
"Mike Rounds, ",South Dakota,Republican,2015-Present,0
"J. Roush, Edward",Indiana,Democratic,0,"1959-1969,"
"John Rousselot, H.",California,Republican,0,"1961-1963,"
"David Rouzer, ",North Carolina,Republican,0,2015-Present
"J. Rowland, Roy",Georgia,Democratic,0,1983-1995
"John Rowland, G.",Connecticut,Republican,0,1985-1991
"Chip Roy, ",Texas,Republican,0,2019-Present
"William Roy, R.",Kansas,Democratic,0,1971-1975
"Edward Roybal, R.",California,Democratic,0,1963-1993
"Lucille Roybal-Allard, ",California,Democratic,0,1993-Present
"Edward Royce, R.",California,Republican,0,1993-2019
"William Royer, ",California,Republican,0,1979-1981
"Marco Rubio, ",Florida,Republican,2011-Present,0
"Eldon Rudd, D.",Arizona,Republican,0,1977-1987
"Warren Rudman, ",New Hampshire,Republican,1981-1993,0
"Raul Ruiz, ",California,Democratic,0,2013-Present
"Harold Runnels, L.",New Mexico,Democratic,0,1971-1981
"Jon Runyan, ",New Jersey,Republican,0,2011-2015
"Philip Ruppe, E.",Michigan,Republican,0,1967-1979
"C. Ruppersberger, ",Maryland,Democratic,0,2003-Present
"Bobby Rush, L.",Illinois,Democratic,0,1993-Present
"Steve Russell, ",Oklahoma,Republican,0,2015-2019
"Martin Russo, A.",Illinois,Democratic,0,1975-1993
"Earl Ruth, B.",North Carolina,Republican,0,1969-1975
"John Rutherford, H.",Florida,Republican,0,2017-Present
"Leo Ryan, J.",California,Democratic,0,1973-1979
"Paul Ryan, D.",Wisconsin,Republican,0,1999-2019
"Tim Ryan, ",Ohio,Democratic,0,2003-Present
"Jim Ryun, ",Kansas,Republican,0,1997-2007
"Gregorio Sablan, ",Northern Mariana Islands,Democratic,0,2009-Present
"Martin Sabo, Olav",Minnesota,Democratic,0,1979-2007
"Patricia Saiki, ",Hawaii,Republican,0,1987-1991
"John Salazar, T.",Colorado,Democratic,0,2005-2011
"Ken Salazar, ",Colorado,Democratic,2005-2009,0
"Maria Salazar, Elvira",Florida,Republican,0,2021-Present
"Bill Sali, ",Idaho,Republican,0,2007-2009
"Matt Salmon, ",Arizona,Republican,0,"1995-2001,"
"Nicolas, San, ",Guam,Democratic,0,2019-Present
"Linda Sanchez, T.",California,Democratic,0,2003-Present
"Loretta Sanchez, ",California,Democratic,0,1997-2017
"Bernard Sanders, ",Vermont,Independent,2007-Present,1991-2007
"Max Sandlin, ",Texas,Democratic,0,1997-2005
"Charles Sandman, ",New Jersey,Republican,0,1967-1975
"Mark Sanford, ",South Carolina,Republican,0,"1995-2001,"
"Terry Sanford, ",North Carolina,Democratic,1985-1993,0
"George Sangmeister, E.",Illinois,Democratic,0,1989-1995
"James Santini, D.",Nevada,Democratic,0,1975-1983
"Rick Santorum, ",Pennsylvania,Republican,1995-2007,1991-1995
"Ronald Sarasin, A.",Connecticut,Republican,0,1973-1979
"John Sarbanes, P.",Maryland,Democratic,0,2007-Present
"Paul Sarbanes, S.",Maryland,Democratic,1977-2007,1971-1977
"Bill Sarpalius, ",Texas,Democratic,0,1989-1995
"Ben Sasse, ",Nebraska,Republican,2015-Present,0
"Jim Sasser, ",Tennessee,Democratic,1977-1995,0
"David Satterfield, ",Virginia,Democratic,0,1965-1981
"Gus Savage, ",Illinois,Democratic,0,1981-1993
"Harold Sawyer, S.",Michigan,Republican,0,1977-1985
"Tom Sawyer, ",Ohio,Democratic,0,1987-2003
"William Saxbe, B.",Ohio,Republican,1969-1975,0
"Jim Saxton, ",New Jersey,Republican,0,1985-2009
"John Saylor, P.",Pennsylvania,Republican,0,1949-1975
"Steve Scalise, ",Louisiana,Republican,0,2008-Present
"Mary Scanlon, Gay",Pennsylvania,Democratic,0,2018-Present
"Joe Scarborough, ",Florida,Republican,0,1995-2001
"Dan Schaefer, ",Colorado,Republican,0,1983-1999
"Bob Schaffer, ",Colorado,Republican,0,1997-2003
"Janice Schakowsky, D.",Illinois,Democratic,0,1999-Present
"Brian Schatz, ",Hawaii,Democratic,2012-Present,0
"Mark Schauer, H.",Michigan,Democratic,0,2009-2011
"Lynn Schenk, ",California,Democratic,0,1993-1995
"William Scherle, J.",Iowa,Republican,0,1967-1975
"James Scheuer, H.",New York,Democratic,0,"1965-1973,"
"Adam Schiff, B.",California,Democratic,0,2001-Present
"Steven Schiff, ",New Mexico,Republican,0,1989-1999
"Robert Schilling, T.",Illinois,Republican,0,2011-2013
"Jean Schmidt, ",Ohio,Republican,0,2005-2013
"Harrison Schmitt, H.",New Mexico,Republican,1977-1983,0
"Herman Schneebeli, T.",Pennsylvania,Republican,0,1959-1977
"Bradley Schneider, Scott",Illinois,Democratic,0,"2013-2015,"
"Claudine Schneider, ",Rhode Island,Republican,0,1981-1991
"Aaron Schock, ",Illinois,Republican,0,2009-2015
"Kurt Schrader, ",Oregon,Democratic,0,2009-Present
"Kim Schrier, ",Washington,Democratic,0,2019-Present
"Edward Schrock, L.",Virginia,Republican,0,2001-2005
"Patricia Schroeder, ",Colorado,Democratic,0,1973-1997
"Bill Schuette, ",Michigan,Republican,0,1985-1991
"Richard Schulze, T.",Pennsylvania,Republican,0,1975-1993
"Charles Schumer, E.",New York,Democratic,1999-Present,1981-1999
"Allyson Schwartz, Y.",Pennsylvania,Democratic,0,2005-2015
"John Schwarz, ",Michigan,Republican,0,2005-2007
"Richard Schweiker, S.",Pennsylvania,Republican,1969-1981,1961-1969
"David Schweikert, ",Arizona,Republican,0,2011-Present
"Austin Scott, ",Georgia,Republican,0,2011-Present
"David Scott, ",Georgia,Democratic,0,2003-Present
"Hugh Scott, ",Pennsylvania,Republican,1959-1977,"1941-1945,"
"Rick Scott, ",Florida,Republican,2019-Present,0
"Robert Scott, ",Virginia,Democratic,0,1993-Present
"Tim Scott, ",South Carolina,Republican,2013-Present,2011-2013
"William Scott, Lloyd",Virginia,Republican,1973-1979,1967-1973
"Andrea Seastrand, H.",California,Republican,0,1995-1997
"Keith Sebelius, G.",Kansas,Republican,0,1969-1981
"John Seiberling, F.",Ohio,Democratic,0,1971-1987
"Gibbs, Sekula, Shelley",Texas,Republican,0,2005-2007
"F. Sensenbrenner, ",Wisconsin,Republican,0,1979-2021
"Jose Serrano, E.",New York,Democratic,0,1989-2021
"Jeff Sessions, ",Alabama,Republican,1997-2017,0
"Pete Sessions, ",Texas,Republican,0,"1997-2019,"
"Joe Sestak, ",Pennsylvania,Democratic,0,2007-2011
"Terri Sewell, A.",Alabama,Democratic,0,2011-Present
"John Seymour, ",California,Republican,1991-1993,0
"John Shadegg, B.",Arizona,Republican,0,1995-2011
"Jeanne Shaheen, ",New Hampshire,Democratic,2009-Present,0
"Donna Shalala, E.",Florida,Democratic,0,2019-2021
"Bob Shamansky, ",Ohio,Democratic,0,1981-1983
"James Shannon, M.",Massachusetts,Democratic,0,1979-1985
"Philip Sharp, R.",Indiana,Democratic,0,1975-1995
"E. Shaw, ",Florida,Republican,0,1981-2007
"Christopher Shays, ",Connecticut,Republican,0,1987-2009
"Carol Shea-Porter, ",New Hampshire,Democratic,0,"2007-2011,"
"Richard Shelby, C.",Alabama,Republican,1987-Present,1979-1987
"Karen Shepherd, ",Utah,Democratic,0,1993-1995
"Brad Sherman, ",California,Democratic,0,1997-Present
"Mikie Sherrill, ",New Jersey,Democratic,0,2019-Present
"Don Sherwood, ",Pennsylvania,Republican,0,1999-2007
"John Shimkus, ",Illinois,Republican,0,1997-2021
"George Shipley, E.",Illinois,Democratic,0,1959-1979
"Dick Shoup, ",Montana,Republican,0,1971-1975
"Ronnie Shows, ",Mississippi,Democratic,0,1999-2003
"Garner Shriver, E.",Kansas,Republican,0,1961-1977
"Heath Shuler, ",North Carolina,Democratic,0,2007-2013
"Norman Shumway, D.",California,Republican,0,1979-1991
"Bill Shuster, ",Pennsylvania,Republican,0,2001-2019
"Bud Shuster, ",Pennsylvania,Republican,0,1973-2001
"Robert Sikes, ",Florida,Democratic,0,1941-1979
"Gerry Sikorski, E.",Minnesota,Democratic,0,1983-1993
"Mark Siljander, D.",Michigan,Republican,0,1981-1987
"Rob Simmons, ",Connecticut,Republican,0,2001-2007
"Paul Simon, ",Illinois,Democratic,1985-1997,1975-1985
"Alan Simpson, K.",Wyoming,Republican,1979-1997,0
"Michael Simpson, K.",Idaho,Republican,0,1999-Present
"Kyrsten Sinema, ",Arizona,Democratic,2019-Present,2013-2019
"Albio Sires, ",New Jersey,Democratic,0,2005-Present
"Norman Sisisky, ",Virginia,Democratic,0,1983-2001
"B. Sisk, F.",California,Democratic,0,1955-1979
"David Skaggs, E.",Colorado,Democratic,0,1987-1999
"Joe Skeen, ",New Mexico,Republican,0,1981-2003
"Ike Skelton, ",Missouri,Democratic,0,1977-2011
"Joe Skubitz, ",Kansas,Republican,0,1963-1979
"John Slack, ",West Virginia,Democratic,0,1959-1981
"Jim Slattery, ",Kansas,Democratic,0,1983-1995
"D. Slaughter, ",Virginia,Republican,0,1985-1993
"Louise Slaughter, McIntosh",New York,Democratic,0,1987-2018
"Elissa Slotkin, ",Michigan,Democratic,0,2019-Present
"Adam Smith, ",Washington,Democratic,0,1997-Present
"Adrian Smith, ",Nebraska,Republican,0,2007-Present
"Albert Smith, ",Alabama,Republican,0,1981-1983
"Bob Smith, ",New Hampshire,Republican,1991-2003,1985-1991
"Christopher Smith, H.",New Jersey,Republican,0,1981-Present
"Denny Smith, ",Oregon,Republican,0,1981-1991
"Gordon Smith, H.",Oregon,Republican,1997-2009,0
"Henry Smith, ",New York,Republican,0,1965-1975
"Jason Smith, ",Missouri,Republican,0,2013-Present
"Joseph Smith, F.",Pennsylvania,Democratic,0,1981-1983
"Lamar Smith, ",Texas,Republican,0,1987-2019
"Larkin Smith, ",Mississippi,Republican,0,1989-1991
"Lawrence Smith, ",Florida,Democratic,0,1983-1993
"Linda Smith, ",Washington,Republican,0,1995-1999
"Neal Smith, Edward",Iowa,Democratic,0,1959-1995
"Nick Smith, ",Michigan,Republican,0,1993-2005
"Peter Smith, ",Vermont,Republican,0,1989-1991
"Robert Smith, ",Oregon,Republican,0,"1983-1995,"
"Tina Smith, ",Minnesota,Democratic,2018-Present,0
"Virginia Smith, ",Nebraska,Republican,0,1975-1991
"Lloyd Smucker, ",Pennsylvania,Republican,0,2017-Present
"Vince Snowbarger, ",Kansas,Republican,0,1997-1999
"Olympia Snowe, J.",Maine,Republican,1995-2013,1979-1995
"M. Snyder, ",Kentucky,Republican,0,"1963-1965,"
"Vic Snyder, ",Arkansas,Democratic,0,1997-2011
"Michael Sodrel, E.",Indiana,Republican,0,2005-2007
"Stephen Solarz, J.",New York,Democratic,0,1975-1993
"Hilda Solis, L.",California,Democratic,0,2001-2009
"Gerald Solomon, ",New York,Republican,0,1979-1999
"Darren Soto, ",Florida,Democratic,0,2017-Present
"Mark Souder, E.",Indiana,Republican,0,1995-2010
"Steve Southerland, II",Florida,Republican,0,2011-2015
"Zachary Space, T.",Ohio,Democratic,0,2007-2011
"Abigail Spanberger, Davis",Virginia,Democratic,0,2019-Present
"Ross Spano, ",Florida,Republican,0,2019-2021
"John Sparkman, J.",Alabama,Democratic,1945-1979,1937-1945
"Victoria Spartz, ",Indiana,Republican,0,2021-Present
"Arlen Specter, ",Pennsylvania,Democratic,1981-2011,0
"Jackie Speier, ",California,Democratic,0,2008-Present
"Gladys Spellman, Noon",Maryland,Democratic,0,1975-1983
"Floyd Spence, ",South Carolina,Republican,0,1971-2001
"John Spratt, ",South Carolina,Democratic,0,1983-2011
"Germain, St, ",Rhode Island,Democratic,0,1961-1989
"Debbie Stabenow, ",Michigan,Democratic,2001-Present,1997-2001
"Edward Stack, J.",Florida,Democratic,0,1979-1981
"Robert Stafford, T.",Vermont,Republican,1971-1989,1961-1971
"Harley Staggers, O.",West Virginia,Democratic,0,1949-1981
"Harley Staggers, ",West Virginia,Democratic,0,1983-1993
"Richard Stallings, H.",Idaho,Democratic,0,1985-1993
"Arlan Stangeland, ",Minnesota,Republican,0,1977-1991
"Greg Stanton, ",Arizona,Democratic,0,2019-Present
"J. Stanton, William",Ohio,Republican,0,1965-1983
"James Stanton, V.",Ohio,Independent,0,1971-1977
"Fortney Stark, Pete",California,Democratic,0,1973-2013
"David Staton, Michael",West Virginia,Republican,0,1981-1983
"Pete Stauber, ",Minnesota,Republican,0,2019-Present
"Cliff Stearns, ",Florida,Republican,0,1989-2013
"Tom Steed, ",Oklahoma,Democratic,0,1949-1981
"Michelle Steel, ",California,Republican,0,2021-Present
"Robert Steele, H.",Connecticut,Republican,0,1969-1975
"Alan Steelman, ",Texas,Republican,0,1973-1977
"Newton Steers, ",Maryland,Republican,0,1977-1979
"Elise Stefanik, M.",New York,Republican,0,2015-Present
"Sam Steiger, ",Arizona,Republican,0,1967-1977
"William Steiger, A.",Wisconsin,Republican,0,1967-1981
"Bryan Steil, ",Wisconsin,Republican,0,2019-Present
"Charles Stenholm, W.",Texas,Democratic,0,1979-2005
"John Stennis, C.",Mississippi,Democratic,1947-1989,0
"Robert Stephens, ",Georgia,Democratic,0,1961-1977
"W. Steube, Gregory",Florida,Republican,0,2019-Present
"Haley Stevens, M.",Michigan,Democratic,0,2019-Present
"Ted Stevens, ",Alaska,Republican,1967-2009,0
"Adlai Stevenson, ",Illinois,Democratic,1969-1981,0
"Bennett Stewart, McVey",Illinois,Democratic,0,1979-1981
"Chris Stewart, ",Utah,Republican,0,2013-Present
"Donald Stewart, ",Alabama,Democratic,1977-1981,0
"Steve Stivers, ",Ohio,Republican,0,2011-2021
"David Stockman, A.",Michigan,Republican,0,1977-1983
"Steve Stockman, ",Texas,Republican,0,"1995-1997,"
"Louis Stokes, ",Ohio,Democratic,0,1969-1999
"Richard Stone, (Dick)",Florida,Democratic,1975-1981,0
"Michael Strang, L.",Colorado,Republican,0,1985-1987
"Luther Strange, ",Alabama,Republican,2017-2018,0
"Samuel Stratton, S.",New York,Democratic,0,1959-1989
"Marilyn Strickland, ",Washington,Democratic,0,2021-Present
"Ted Strickland, ",Ohio,Democratic,0,"1993-1995,"
"Frank Stubblefield, A.",Kentucky,Democratic,0,1959-1975
"W. Stuckey, ",Georgia,Democratic,0,1967-1977
"Gerry Studds, E.",Massachusetts,Democratic,0,1973-1997
"Bob Stump, ",Arizona,Republican,0,1977-2003
"Bart Stupak, ",Michigan,Democratic,0,1993-2011
"Marlin Stutzman, A.",Indiana,Republican,0,2010-2017
"Dan Sullivan, ",Alaska,Republican,2015-Present,0
"John Sullivan, ",Oklahoma,Republican,0,2002-2013
"Leonor Sullivan, ",Missouri,Democratic,0,1953-1977
"Don Sundquist, ",Tennessee,Republican,0,1983-1995
"Foto Sunia, ",American Samoa,Democratic,0,1981-1989
"John Sununu, E.",New Hampshire,Republican,2003-2009,1997-2003
"Thomas Suozzi, R.",New York,Democratic,0,2017-Present
"Betty Sutton, ",Ohio,Democratic,0,2007-2013
"Eric Swalwell, ",California,Democratic,0,2013-Present
"David Sweeney, McCann",Texas,Republican,0,1985-1989
"John Sweeney, E.",New York,Republican,0,1999-2007
"Dick Swett, ",New Hampshire,Democratic,0,1991-1995
"Al Swift, ",Washington,Democratic,0,1979-1995
"Patrick Swindall, L.",Georgia,Republican,0,1985-1989
"James Symington, W.",Missouri,Democratic,0,1969-1977
"Stuart Symington, ",Missouri,Democratic,1953-1977,0
"Steven Symms, D.",Idaho,Republican,1981-1993,1973-1981
"Mike Synar, ",Oklahoma,Democratic,0,1979-1995
"Robert, Taft, Jr.",Ohio,Republican,1971-1977,"1963-1965,"
"Mark Takai, ",Hawaii,Democratic,0,2015-2016
"Mark Takano, ",California,Democratic,0,2013-Present
"Burt Talcott, L.",California,Republican,0,1963-1977
"Jim Talent, ",Missouri,Republican,2002-2007,1993-2001
"Robert Tallon, ",South Carolina,Democratic,0,1983-1993
"Herman Talmadge, E.",Georgia,Democratic,1957-1981,0
"Thomas Tancredo, G.",Colorado,Republican,0,1999-2009
"John Tanner, S.",Tennessee,Democratic,0,1989-2011
"Randy Tate, ",Washington,Republican,0,1995-1997
"Thomas Tauke, Joseph",Iowa,Republican,0,1979-1991
"Ellen Tauscher, O.",California,Democratic,0,1997-2009
"W. Tauzin, ",Louisiana,Republican,0,1979-2005
"Charles Taylor, H.",North Carolina,Republican,0,1991-2007
"G. Taylor, ",Missouri,Republican,0,1973-1989
"Gene Taylor, ",Mississippi,Democratic,0,1989-2011
"Roy Taylor, A.",North Carolina,Democratic,0,1959-1977
"Scott Taylor, ",Virginia,Republican,0,2017-2019
"Van Taylor, ",Texas,Republican,0,2019-Present
"Charles Teague, M.",California,Republican,0,1955-1975
"Harry Teague, ",New Mexico,Democratic,0,2009-2011
"Olin Teague, E.",Texas,Democratic,0,1945-1979
"Frank Tejeda, ",Texas,Democratic,0,1993-1999
"Claudia Tenney, ",New York,Republican,0,"2017-2019,"
"Lee Terry, ",Nebraska,Republican,0,1999-2015
"Jon Tester, ",Montana,Democratic,2007-Present,0
"Craig Thomas, ",Wyoming,Republican,1995-2007,1989-1995
"Lindsay Thomas, ",Georgia,Democratic,0,1983-1993
"William Thomas, M.",California,Republican,0,1979-2007
"Bennie Thompson, G.",Mississippi,Democratic,0,1993-Present
"Frank, Thompson, Jr.",New Jersey,Democratic,0,1955-1981
"Fred Thompson, ",Tennessee,Republican,1994-2003,0
"Glenn Thompson, ",Pennsylvania,Republican,0,2009-Present
"Mike Thompson, ",California,Democratic,0,1999-Present
"Vernon Thomson, W.",Wisconsin,Republican,0,1961-1975
"Charles Thone, ",Nebraska,Republican,0,1971-1979
"Mac Thornberry, ",Texas,Republican,0,1995-2021
"Ray Thornton, ",Arkansas,Democratic,0,"1973-1979,"
"John Thune, ",South Dakota,Republican,2005-Present,1997-2003
"Karen Thurman, L.",Florida,Democratic,0,1993-2003
"Strom Thurmond, ",South Carolina,Republican,1953-2003,0
"Todd Tiahrt, ",Kansas,Republican,0,1995-2011
"Patrick Tiberi, J.",Ohio,Republican,0,2001-2018
"Robert Tiernan, O.",Rhode Island,Democratic,0,1967-1975
"John Tierney, F.",Massachusetts,Democratic,0,1997-2015
"Thomas Tiffany, P.",Wisconsin,Republican,0,2020-Present
"Thom Tillis, ",North Carolina,Republican,2015-Present,0
"William Timmons, ",South Carolina,Republican,0,2019-Present
"Scott Tipton, R.",Colorado,Republican,0,2011-2021
"Dina Titus, ",Nevada,Democratic,0,"2009-2011,"
"Rashida Tlaib, ",Michigan,Democratic,0,2019-Present
"Paul Tonko, ",New York,Democratic,0,2009-Present
"Richard Tonry, A.",Louisiana,Democratic,0,1977-1979
"Pat Toomey, ",Pennsylvania,Republican,2011-Present,1999-2005
"Peter Torkildsen, G.",Massachusetts,Republican,0,1993-1997
"Small, Torres, Xochitl",New Mexico,Democratic,0,2019-2021
"Estaban Torres, Edward",California,Democratic,0,1983-1999
"Norma Torres, J.",California,Democratic,0,2015-Present
"Ritchie Torres, ",New York,Democratic,0,2021-Present
"Robert Torricelli, G.",New Jersey,Democratic,1997-2003,1983-1997
"David Towell, ",Nevada,Republican,0,1973-1975
"John Tower, G.",Texas,Republican,1961-1985,0
"Edolphus Towns, ",New York,Democratic,0,1983-2013
"James Traficant, ",Ohio,Democratic,0,1985-2002
"Lori Trahan, ",Massachusetts,Democratic,0,2019-Present
"Bob Traxler, ",Michigan,Democratic,0,1973-1993
"David Treen, C.",Louisiana,Republican,0,1973-1981
"Paul Trible, ",Virginia,Republican,1983-1989,1977-1983
"David Trone, J.",Maryland,Democratic,0,2019-Present
"David Trott, A.",Michigan,Republican,0,2015-2019
"Niki Tsongas, ",Massachusetts,Democratic,0,2007-2019
"Paul Tsongas, E.",Massachusetts,Democratic,1979-1985,1975-1979
"Tommy Tuberville, ",Alabama,Republican,2021-Present,0
"James Tucker, ",Arkansas,Democratic,0,1977-1979
"Walter Tucker, ",California,Democratic,0,1993-1997
"John Tunney, V.",California,Democratic,1973-1977,1965-1973
"Jim Turner, ",Texas,Democratic,0,1997-2005
"Michael Turner, R.",Ohio,Republican,0,2003-Present
"Robert Turner, L.",New York,Republican,0,2011-2013
"Mark Udall, ",Colorado,Democratic,2009-2015,1999-2009
"Morris Udall, K.",Arizona,Democratic,0,1961-1993
"Tom Udall, ",New Mexico,Democratic,2009-2021,1999-2009
"Al Ullman, ",Oregon,Democratic,0,1957-1981
"Lauren Underwood, ",Illinois,Democratic,0,2019-Present
"Robert Underwood, A.",Guam,Democratic,0,1993-2003
"Jolene Unsoeld, ",Washington,Democratic,0,1989-1995
"Fred Upton, ",Michigan,Republican,0,1987-Present
"David Valadao, G.",California,Republican,0,"2013-2019,"
"Tim Valentine, ",North Carolina,Democratic,0,1983-1995
"Deerlin, Van, Lionel",California,Democratic,0,1963-1981
"Drew, Van, Jefferson",New Jersey,Republican,0,2019-Present
"Duyne, Van, Beth",Texas,Republican,0,2021-Present
"Hollen, Van, Chris",Maryland,Democratic,2017-Present,2003-2017
"Jagt, Vander, Guy",Michigan,Republican,0,1965-1993
"Veen, Vander, ",Michigan,Democratic,0,1973-1977
"Tommy Vandergriff, J.",Texas,Democratic,0,1983-1985
"Charles Vanik, A.",Ohio,Democratic,0,1955-1981
"Juan Vargas, ",California,Democratic,0,2013-Present
"Marc Veasey, A.",Texas,Democratic,0,2013-Present
"Filemon Vela, ",Texas,Democratic,0,2013-Present
"Nydia Velazquez, M.",New York,Democratic,0,1993-Present
"Bruce Vento, F.",Minnesota,Democratic,0,1977-2001
"Victor Veysey, V.",California,Republican,0,1971-1975
"Joseph Vigorito, P.",Pennsylvania,Democratic,0,1965-1977
"Peter Visclosky, J.",Indiana,Democratic,0,1985-2021
"David Vitter, ",Louisiana,Republican,2005-2017,1999-2005
"George Voinovich, V.",Ohio,Republican,1999-2011,0
"Harold Volkmer, L.",Missouri,Democratic,0,1977-1997
"Barbara Vucanovich, F.",Nevada,Republican,0,1983-1997
"Joe Waggonner, ",Louisiana,Democratic,0,1961-1979
"Ann Wagner, ",Missouri,Republican,0,2013-Present
"Tim Walberg, ",Michigan,Republican,0,"2007-2009,"
"Greg Walden, ",Oregon,Republican,0,1999-2021
"Enid Waldholtz, Greene",Utah,Republican,0,1995-1997
"Jerome Waldie, R.",California,Democratic,0,1965-1975
"Alton Waldon, ",New York,Democratic,0,1985-1987
"Doug Walgren, ",Pennsylvania,Democratic,0,1977-1991
"Mark Walker, ",North Carolina,Republican,0,2015-2021
"Robert Walker, S.",Pennsylvania,Republican,0,1977-1997
"Malcolm Wallop, ",Wyoming,Republican,1977-1995,0
"Jackie Walorski, ",Indiana,Republican,0,2013-Present
"James Walsh, T.",New York,Republican,0,1989-2009
"Joe Walsh, ",Illinois,Republican,0,2011-2013
"John Walsh, E.",Montana,Democratic,2014-2015,0
"William Walsh, F.",New York,Republican,0,1973-1979
"Mimi Walters, ",California,Republican,0,2015-2019
"Michael Waltz, ",Florida,Republican,0,2019-Present
"Timothy Walz, J.",Minnesota,Democratic,0,2007-2019
"Zach Wamp, ",Tennessee,Republican,0,1995-2011
"William Wampler, C.",Virginia,Republican,0,"1953-1955,"
"Mike Ward, ",Kentucky,Democratic,0,1995-1997
"John Ware, H.",Pennsylvania,Republican,0,1969-1975
"John Warner, ",Virginia,Republican,1979-2009,0
"Mark Warner, R.",Virginia,Democratic,2009-Present,0
"Raphael Warnock, G.",Georgia,Democratic,2021-Present,0
"Elizabeth Warren, ",Massachusetts,Democratic,2013-Present,0
"Craig Washington, A.",Texas,Democratic,0,1989-1995
"Harold Washington, ",Illinois,Democratic,0,1981-1985
"Schultz, Wasserman, Debbie",Florida,Democratic,0,2005-Present
"Maxine Waters, ",California,Democratic,0,1991-Present
"Steve Watkins, ",Kansas,Republican,0,2019-2021
"Wes Watkins, ",Oklahoma,Republican,0,"1977-1991,"
"Coleman, Watson, Bonnie",New Jersey,Democratic,0,2015-Present
"Diane Watson, E.",California,Democratic,0,2001-2011
"Melvin Watt, L.",North Carolina,Democratic,0,1993-2014
"J. Watts, ",Oklahoma,Republican,0,1995-2003
"Henry Waxman, A.",California,Democratic,0,1975-2015
"James Weaver, H.",Oregon,Democratic,0,1975-1987
"Jim Webb, ",Virginia,Democratic,2007-2013,0
"Ed Weber, ",Ohio,Republican,0,1981-1983
"Randy Weber, ",Texas,Republican,0,2013-Present
"Vin Weber, ",Minnesota,Republican,0,1981-1993
"Daniel Webster, ",Florida,Republican,0,2011-Present
"Lowell Weicker, ",Connecticut,Republican,1973-1989,1969-1971
"Anthony Weiner, D.",New York,Democratic,0,1999-2011
"Ted Weiss, ",New York,Democratic,0,1977-1993
"Peter Welch, ",Vermont,Democratic,0,2007-Present
"Curt Weldon, ",Pennsylvania,Republican,0,1987-2007
"Dave Weldon, ",Florida,Republican,0,1995-2009
"Jerry Weller, ",Illinois,Republican,0,1995-2009
"Paul Wellstone, D.",Minnesota,Democratic,1991-2002,0
"Brad Wenstrup, R.",Ohio,Republican,0,2013-Present
"Allen West, B.",Florida,Republican,0,2011-2013
"Bruce Westerman, ",Arkansas,Republican,0,2015-Present
"Lynn Westmoreland, A.",Georgia,Republican,0,2005-2017
"Robert Wexler, ",Florida,Democratic,0,1997-2010
"Jennifer Wexton, ",Virginia,Democratic,0,2019-Present
"Robert Weygand, A.",Rhode Island,Democratic,0,1997-2001
"Charles Whalen, ",Ohio,Republican,0,1967-1979
"Alan Wheat, ",Missouri,Democratic,0,1983-1995
"Richard White, C.",Texas,Democratic,0,1965-1983
"Rick White, ",Washington,Republican,0,1995-1999
"Sheldon Whitehouse, ",Rhode Island,Democratic,2007-Present,0
"G. Whitehurst, William",Virginia,Republican,0,1969-1987
"Ed Whitfield, ",Kentucky,Republican,0,1995-2016
"Charles Whitley, ",North Carolina,Democratic,0,1977-1987
"Bob Whittaker, ",Kansas,Republican,0,1979-1991
"Jamie Whitten, L.",Mississippi,Democratic,0,"1941-1947,"
"Roger Wicker, F.",Mississippi,Republican,2007-Present,1995-2007
"William Widnall, B.",New Jersey,Republican,0,1949-1975
"Charles Wiggins, E.",California,Republican,0,1967-1979
"Susan Wild, ",Pennsylvania,Democratic,0,2018-Present
"Harrison Williams, ",New Jersey,Democratic,1959-1982,1953-1957
