people,state,party,senate_years,house_years
"E. Coleman, Thomas",Missouri,Republican,0,1977-1993
"Norm Coleman, ",Minnesota,Republican,2003-2009,0
"Ronald Coleman, D.",Texas,Democratic,0,1983-1997
"Harold Collier, R.",Illinois,Republican,0,1957-1975
"Barbara-Rose Collins, ",Michigan,Democratic,0,1991-1997
"Cardiss Collins, ",Illinois,Democratic,0,1973-1997
"Chris Collins, ",New York,Republican,0,2013-2019
"Doug Collins, ",Georgia,Republican,0,2013-2021
"James Collins, M.",Texas,Republican,0,1967-1983
"Mac Collins, ",Georgia,Republican,0,1993-2005
"Susan Collins, M.",Maine,Republican,1997-Present,0
"Colorado, Commissioner, Antonio",Puerto Rico,Democratic,0,1991-1993
"Larry Combest, ",Texas,Republican,0,1985-2003
"James Comer, ",Kentucky,Republican,0,2016-Present
"Barbara Comstock, ",Virginia,Republican,0,2015-2019
"Barber Conable, ",New York,Republican,0,1965-1985
"K. Conaway, Michael",Texas,Republican,0,2005-2021
"Gary Condit, A.",California,Democratic,0,1989-2003
"John Conlan, B.",Arizona,Republican,0,1973-1977
"Gerald Connolly, E.",Virginia,Democratic,0,2009-Present
"Kent Conrad, ",North Dakota,Democratic,1987-2013,0
"Silvio Conte, O.",Massachusetts,Republican,0,1959-1993
"John, Conyers, Jr.",Michigan,Democratic,0,1965-2017
"Marlow Cook, W.",Kentucky,Republican,1967-1975,0
"Merrill Cook, ",Utah,Republican,0,1997-2001
"Paul Cook, ",California,Republican,0,2013-2020
"John Cooksey, ",Louisiana,Republican,0,1997-2003
"Wes Cooley, ",Oregon,Republican,0,1995-1997
"Christopher Coons, A.",Delaware,Democratic,2010-Present,0
"Jim Cooper, ",Tennessee,Democratic,0,"1983-1995,"
"Sam Coppersmith, ",Arizona,Democratic,0,1993-1995
"Tom Corcoran, ",Illinois,Republican,0,1977-1985
"Bob Corker, ",Tennessee,Republican,2007-2019,0
"James Corman, C.",California,Democratic,0,1961-1981
"Robert Cornell, J.",Wisconsin,Democratic,0,1975-1979
"David Cornwell, L.",Indiana,Democratic,0,1977-1979
"John Cornyn, ",Texas,Republican,2002-Present,0
"Corrada, Commissioner, Baltasar",Puerto Rico,Independent,0,1977-1987
"J. Correa, Luis",California,Democratic,0,2017-Present
